store_id,query,lat,lon,display_name,raw_json
HT_11,"5810 Highland Shoppes Dr, Charlotte, NC, 28269, USA",35.3716618,-80.7828056,"Harris Teeter, 5810, Highland Shoppes Drive, The Maxwell at Highland, The Shoppes at Highland Creek, Charlotte, Mecklenburg County, North Carolina, 28269, United States","{""place_id"": 314265458, ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 381225518, ""lat"": ""35.3716618"", ""lon"": ""-80.7828056"", ""class"": ""shop"", ""type"": ""supermarket"", ""place_rank"": 30, ""importance"": 7.101625085827447e-05, ""addresstype"": ""shop"", ""name"": ""Harris Teeter"", ""display_name"": ""Harris Teeter, 5810, Highland Shoppes Drive, The Maxwell at Highland, The Shoppes at Highland Creek, Charlotte, Mecklenburg County, North Carolina, 28269, United States"", ""address"": {""shop"": ""Harris Teeter"", ""house_number"": ""5810"", ""road"": ""Highland Shoppes Drive"", ""residential"": ""The Maxwell at Highland"", ""retail"": ""The Shoppes at Highland Creek"", ""city"": ""Charlotte"", ""county"": ""Mecklenburg County"", ""state"": ""North Carolina"", ""ISO3166-2-lvl4"": ""US-NC"", ""postcode"": ""28269"", ""country"": ""United States"", ""country_code"": ""us""}, ""boundingbox"": [""35.3711743"", ""35.3719943"", ""-80.7832623"", ""-80.7824112""]}"
HT_12,"1227 East Blvd, Charlotte, NC, 28203, USA",35.2036741,-80.8447502,"Harris Teeter, 1227, East Boulevard, Dilworth Historic District, Charlotte, Mecklenburg County, North Carolina, 28203, United States","{""place_id"": 316928280, ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 432823779, ""lat"": ""35.2036741"", ""lon"": ""-80.8447502"", ""class"": ""shop"", ""type"": ""supermarket"", ""place_rank"": 30, ""importance"": 7.101625085827447e-05, ""addresstype"": ""shop"", ""name"": ""Harris Teeter"", ""display_name"": ""Harris Teeter, 1227, East Boulevard, Dilworth Historic District, Charlotte, Mecklenburg County, North Carolina, 28203, United States"", ""address"": {""shop"": ""Harris Teeter"", ""house_number"": ""1227"", ""road"": ""East Boulevard"", ""suburb"": ""Dilworth Historic District"", ""city"": ""Charlotte"", ""county"": ""Mecklenburg County"", ""state"": ""North Carolina"", ""ISO3166-2-lvl4"": ""US-NC"", ""postcode"": ""28203"", ""country"": ""United States"", ""country_code"": ""us""}, ""boundingbox"": [""35.2032711"", ""35.2040379"", ""-80.8453606"", ""-80.8442388""]}"
HT_13,"5706 Wyalong Dr, Charlotte, NC, 28227, USA",35.1729474,-80.7090922,"Harris Teeter, 5706, Wyalong Drive, Charlotte, Mecklenburg County, North Carolina, 28227, United States","{""place_id"": 315995772, ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 324383725, ""lat"": ""35.1729474"", ""lon"": ""-80.7090922"", ""class"": ""shop"", ""type"": ""supermarket"", ""place_rank"": 30, ""importance"": 7.101625085827447e-05, ""addresstype"": ""shop"", ""name"": ""Harris Teeter"", ""display_name"": ""Harris Teeter, 5706, Wyalong Drive, Charlotte, Mecklenburg County, North Carolina, 28227, United States"", ""address"": {""shop"": ""Harris Teeter"", ""house_number"": ""5706"", ""road"": ""Wyalong Drive"", ""city"": ""Charlotte"", ""county"": ""Mecklenburg County"", ""state"": ""North Carolina"", ""ISO3166-2-lvl4"": ""US-NC"", ""postcode"": ""28227"", ""country"": ""United States"", ""country_code"": ""us""}, ""boundingbox"": [""35.1725569"", ""35.1733450"", ""-80.7096452"", ""-80.7085749""]}"
HT_14,"6701 Carnegie Blvd, Charlotte, NC, 28211, USA",35.1527000,-80.8266840,"6701, Carnegie Boulevard, Morrocroft Village, SouthPark, Charlotte, Mecklenburg County, North Carolina, 28211, United States","{""place_id"": 375668180, ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 322996667, ""lat"": ""35.1527000"", ""lon"": ""-80.8266840"", ""class"": ""place"", ""type"": ""house"", ""place_rank"": 30, ""importance"": 9.99999999995449e-06, ""addresstype"": ""place"", ""name"": """", ""display_name"": ""6701, Carnegie Boulevard, Morrocroft Village, SouthPark, Charlotte, Mecklenburg County, North Carolina, 28211, United States"", ""address"": {""house_number"": ""6701"", ""road"": ""Carnegie Boulevard"", ""neighbourhood"": ""Morrocroft Village"", ""suburb"": ""SouthPark"", ""city"": ""Charlotte"", ""county"": ""Mecklenburg County"", ""state"": ""North Carolina"", ""ISO3166-2-lvl4"": ""US-NC"", ""postcode"": ""28211"", ""country"": ""United States"", ""country_code"": ""us""}, ""boundingbox"": [""35.1526500"", ""35.1527500"", ""-80.8267340"", ""-80.8266340""]}"
HT_15,"1015 Providence Rd, Charlotte, NC, 28207, USA",35.1960213,-80.8266147,"Harris Teeter, 1015, Providence Road, Myers Park, Charlotte, Mecklenburg County, North Carolina, 28207, United States","{""place_id"": 313540868, ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 836183792, ""lat"": ""35.1960213"", ""lon"": ""-80.8266147"", ""class"": ""shop"", ""type"": ""supermarket"", ""place_rank"": 30, ""importance"": 7.101625085827447e-05, ""addresstype"": ""shop"", ""name"": ""Harris Teeter"", ""display_name"": ""Harris Teeter, 1015, Providence Road, Myers Park, Charlotte, Mecklenburg County, North Carolina, 28207, United States"", ""address"": {""shop"": ""Harris Teeter"", ""house_number"": ""1015"", ""road"": ""Providence Road"", ""suburb"": ""Myers Park"", ""city"": ""Charlotte"", ""county"": ""Mecklenburg County"", ""state"": ""North Carolina"", ""ISO3166-2-lvl4"": ""US-NC"", ""postcode"": ""28207"", ""country"": ""United States"", ""country_code"": ""us""}, ""boundingbox"": [""35.1957161"", ""35.1963141"", ""-80.8269872"", ""-80.8261714""]}"
HT_16,"4100 Carmel Rd, Charlotte, NC, 28226, USA",35.1171341,-80.8244448,"4100, Carmel Road, Charlotte, Mecklenburg County, North Carolina, 28226, United States","{""place_id"": 318708186, ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 322595862, ""lat"": ""35.1171341"", ""lon"": ""-80.8244448"", ""class"": ""building"", ""type"": ""retail"", ""place_rank"": 30, ""importance"": 7.101625085827447e-05, ""addresstype"": ""building"", ""name"": """", ""display_name"": ""4100, Carmel Road, Charlotte, Mecklenburg County, North Carolina, 28226, United States"", ""address"": {""house_number"": ""4100"", ""road"": ""Carmel Road"", ""city"": ""Charlotte"", ""county"": ""Mecklenburg County"", ""state"": ""North Carolina"", ""ISO3166-2-lvl4"": ""US-NC"", ""postcode"": ""28226"", ""country"": ""United States"", ""country_code"": ""us""}, ""boundingbox"": [""35.1167542"", ""35.1175352"", ""-80.8254833"", ""-80.8235420""]}"
HT_17,"4101 Park Rd, Charlotte, NC, 28209, USA",35.1756969,-80.8501258,"Harris Teeter, 4101, Park Road, Charlotte, Mecklenburg County, North Carolina, 28209, United States","{""place_id"": 317271051, ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 1192988290, ""lat"": ""35.1756969"", ""lon"": ""-80.8501258"", ""class"": ""shop"", ""type"": ""supermarket"", ""place_rank"": 30, ""importance"": 7.101625085827447e-05, ""addresstype"": ""shop"", ""name"": ""Harris Teeter"", ""display_name"": ""Harris Teeter, 4101, Park Road, Charlotte, Mecklenburg County, North Carolina, 28209, United States"", ""address"": {""shop"": ""Harris Teeter"", ""house_number"": ""4101"", ""road"": ""Park Road"", ""city"": ""Charlotte"", ""county"": ""Mecklenburg County"", ""state"": ""North Carolina"", ""ISO3166-2-lvl4"": ""US-NC"", ""postcode"": ""28209"", ""country"": ""United States"", ""country_code"": ""us""}, ""boundingbox"": [""35.1753542"", ""35.1759795"", ""-80.8505806"", ""-80.8496640""]}"
HT_18,"5030 Park Rd, Charlotte, NC, 28209, USA",35.1621857,-80.8492188,"5030, Park Road, Parkdale, Charlotte, Mecklenburg County, North Carolina, 28209, United States","{""place_id"": 375649272, ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 1010225045, ""lat"": ""35.1621857"", ""lon"": ""-80.8492188"", ""class"": ""place"", ""type"": ""house"", ""place_rank"": 30, ""importance"": 9.99999999995449e-06, ""addresstype"": ""place"", ""name"": """", ""display_name"": ""5030, Park Road, Parkdale, Charlotte, Mecklenburg County, North Carolina, 28209, United States"", ""address"": {""house_number"": ""5030"", ""road"": ""Park Road"", ""suburb"": ""Parkdale"", ""city"": ""Charlotte"", ""county"": ""Mecklenburg County"", ""state"": ""North Carolina"", ""ISO3166-2-lvl4"": ""US-NC"", ""postcode"": ""28209"", ""country"": ""United States"", ""country_code"": ""us""}, ""boundingbox"": [""35.1621357"", ""35.1622357"", ""-80.8492688"", ""-80.8491688""]}"
HT_19,"10616 Providence Rd, Charlotte, NC, 28277, USA",35.0631990,-80.7738179,"Starbucks, 10616, Providence Road, Providence, Charlotte, Mecklenburg County, North Carolina, 28277, United States","{""place_id"": 408297506, ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 515111786, ""lat"": ""35.0631990"", ""lon"": ""-80.7738179"", ""class"": ""amenity"", ""type"": ""cafe"", ""place_rank"": 30, ""importance"": 7.101625085827447e-05, ""addresstype"": ""amenity"", ""name"": ""Starbucks"", ""display_name"": ""Starbucks, 10616, Providence Road, Providence, Charlotte, Mecklenburg County, North Carolina, 28277, United States"", ""address"": {""amenity"": ""Starbucks"", ""house_number"": ""10616"", ""road"": ""Providence Road"", ""hamlet"": ""Providence"", ""city"": ""Charlotte"", ""county"": ""Mecklenburg County"", ""state"": ""North Carolina"", ""ISO3166-2-lvl4"": ""US-NC"", ""postcode"": ""28277"", ""country"": ""United States"", ""country_code"": ""us""}, ""boundingbox"": [""35.0631010"", ""35.0632951"", ""-80.7739371"", ""-80.7736986""]}"
HT_20,"8538 Park Rd, Charlotte, NC, 28210, USA",35.1166744,-80.8581802,"Harris Teeter, 8538, Park Road, Charlotte, Mecklenburg County, North Carolina, 28210, United States","{""place_id"": 312729486, ""licence"": ""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 554177699, ""lat"": ""35.1166744"", ""lon"": ""-80.8581802"", ""class"": ""shop"", ""type"": ""supermarket"", ""place_rank"": 30, ""importance"": 7.101625085827447e-05, ""addresstype"": ""shop"", ""name"": ""Harris Teeter"", ""display_name"": ""Harris Teeter, 8538, Park Road, Charlotte, Mecklenburg County, North Carolina, 28210, United States"", ""address"": {""shop"": ""Harris Teeter"", ""house_number"": ""8538"", ""road"": ""Park Road"", ""city"": ""Charlotte"", ""county"": ""Mecklenburg County"", ""state"": ""North Carolina"", ""ISO3166-2-lvl4"": ""US-NC"", ""postcode"": ""28210"", ""country"": ""United States"", ""country_code"": ""us""}, ""boundingbox"": [""35.1162115"", ""35.1170791"", ""-80.8587737"", ""-80.8577462""]}"
