store_id,brand,store_name,address,city,state,zip,role,latitude,longitude,geocode_display_name
HT_28,Harris Teeter,Harris Teeter,8445 Davis Lake Pkwy,Charlotte,NC,28269,validation,35.3341087,-80.8145127,"Harris Teeter, 8445, Davis Lake Parkway, Croft, Charlotte, Mecklenburg County, North Carolina, 28269, United States"
HT_29,Harris Teeter,Harris Teeter,8600 University City Blvd,Charlotte,NC,28213,validation,35.2962498,-80.7383763,"Harris Teeter, 8600, University City Boulevard, University City, Charlotte, Mecklenburg County, North Carolina, 28213, United States"
FL_01,Food Lion,Food Lion,10120 Johnston Rd,Charlotte,NC,28210,competitor,35.0936076,-80.8580580,"10120, Johnston Road, Falcon Bridge, Charlotte, Mecklenburg County, North Carolina, 28210, United States"
FL_02,Food Lion,Food Lion,1620 Ashley Rd,Charlotte,NC,28208,competitor,35.2403141,-80.8972398,"1620, Ashley Road, Westerly Hill, Ashley Park, Charlotte, Mecklenburg County, North Carolina, 28208, United States"
FL_03,Food Lion,Food Lion,704 Harris Houston Rd,Charlotte,NC,28262,competitor,35.3246462,-80.6938544,"Harris Houston Road, The Villages at Wexford, Charlotte, Mecklenburg County, North Carolina, 28262, United States"
FL_04,Food Lion,Food Lion,2123 Beatties Ford Rd,Charlotte,NC,28216,competitor,35.2633532,-80.8547419,"2123, Beatties Ford Road, Lincoln Heights, Charlotte, Mecklenburg County, North Carolina, 28216, United States"
FL_05,Food Lion,Food Lion,2201 West W.T. Harris Blvd,Charlotte,NC,28269,competitor,35.3190405,-80.7810333,"Food Lion, 2201, West W T Harris Boulevard, Mallard, Charlotte, Mecklenburg County, North Carolina, 28269, United States"
FL_06,Food Lion,Food Lion,2226 Park Rd,Charlotte,NC,28203,competitor,35.1994569,-80.8521412,"2226, Park Road, Dilworth Historic District, Charlotte, Mecklenburg County, North Carolina, 28203, United States"
FL_07,Food Lion,Food Lion,237 Mt Holly-Huntersville Rd,Charlotte,NC,28214,competitor,35.3028085,-80.9872757,"Food Lion, 237, Mount Holly-Huntersville Road, Hope Farm, Charlotte, Mecklenburg County, North Carolina, 28214, United States"
FL_08,Food Lion,Food Lion,2526 Little Rock Rd,Charlotte,NC,28214,competitor,35.2452603,-80.9385076,"2526, Little Rock Road, Charlotte, Mecklenburg County, North Carolina, 28214, United States"
FL_09,Food Lion,Food Lion,2931 E W.T. Harris Blvd,Charlotte,NC,28213,competitor,35.2728415,-80.7285193,"2931, East W T Harris Boulevard, Charlotte, Mecklenburg County, North Carolina, 28213, United States"
FL_10,Food Lion,Food Lion,3009 The Plaza,Charlotte,NC,28205,competitor,35.2391054,-80.7995398,"Food Lion, 3009, The Plaza, NoDa, Charlotte, Mecklenburg County, North Carolina, 28205, United States"
FL_11,Food Lion,Food Lion,3207 Eastway Dr,Charlotte,NC,28205,competitor,35.2106256,-80.7803066,"Food Lion, 3207, Eastway Drive, Charlotte, Mecklenburg County, North Carolina, 28205, United States"
FL_12,Food Lion,Food Lion,4001 Sunset Rd W,Charlotte,NC,,competitor,,,
FL_13,Food Lion,Food Lion,4709 Tuckaseegee Rd,Charlotte,NC,28208,competitor,35.2469466,-80.9031488,"4709, Tuckaseegee Road, Thomasboro, Charlotte, Mecklenburg County, North Carolina, 28208, United States"
FL_14,Food Lion,Food Lion,5624 N Graham St,Charlotte,NC,28269,competitor,35.2893550,-80.7980365,"Food Lion, 5624, North Graham Street, Mineral Springs, Charlotte, Mecklenburg County, North Carolina, 28269, United States"
FL_15,Food Lion,Food Lion,5831 South Blvd,Charlotte,NC,28210,competitor,35.1558242,-80.8750294,"Food Lion, 5831, South Boulevard, Charlotte, Mecklenburg County, North Carolina, 28210, United States"
FL_16,Food Lion,Food Lion,6430 W Sugar Creek Rd,Charlotte,NC,28269,competitor,35.3355242,-80.7962572,"Food Lion, 6430, West Sugar Creek Road, Mallard, Charlotte, Mecklenburg County, North Carolina, 28269, United States"
FL_17,Food Lion,Food Lion,7004 E W.T. Harris Blvd,Charlotte,NC,28215,competitor,35.2249308,-80.7274839,"7004, East W T Harris Boulevard, Hickory Grove, Charlotte, Mecklenburg County, North Carolina, 28215, United States"
FL_18,Food Lion,Food Lion,7400 Candlewyck Ln,Charlotte,NC,28226,competitor,35.1089098,-80.7809727,"Food Lion, 7400, Candlewyck Lane, Candlewyck, Charlotte, Mecklenburg County, North Carolina, 28226, United States"
FL_19,Food Lion,Food Lion,7400 The Plaza,Charlotte,NC,28215,competitor,35.2575870,-80.7344343,"Food Lion, 7400, The Plaza, Candlewood, Charlotte, Mecklenburg County, North Carolina, 28215, United States"
FL_20,Food Lion,Food Lion,8010 Cambridge Commons Dr,Charlotte,NC,28215,competitor,35.2523975,-80.6571145,"Food Lion, 8010, Cambridge Commons Drive, Charlotte, Mecklenburg County, North Carolina, 28215, United States"
FL_21,Food Lion,Food Lion,8100 Idlewild Rd,Charlotte,NC,28227,competitor,35.1845487,-80.7292250,"Food Lion, 8100, Idlewild Road, Idlewild, Charlotte, Mecklenburg County, North Carolina, 28227, United States"
FL_22,Food Lion,Food Lion,8138 Mt Holly-Huntersville Rd,Charlotte,NC,28216,competitor,35.3460412,-80.8878164,"8138, Mount Holly-Huntersville Road, Charlotte, Mecklenburg County, North Carolina, 28216, United States"
FL_23,Food Lion,Food Lion,9021 Albemarle Rd,Charlotte,NC,28227,competitor,35.2131598,-80.6902384,"Food Lion, 9021, Albemarle Road, Orchard Park, Charlotte, Mecklenburg County, North Carolina, 28227, United States"
FL_24,Food Lion,Food Lion,9112 S Tryon St,Charlotte,NC,28273,competitor,35.1342729,-80.9396795,"9112, South Tryon Street, Charlotte, Mecklenburg County, North Carolina, 28273, United States"
FL_25,Food Lion,Food Lion,9115 Samlen Ln,Charlotte,NC,28214,competitor,35.2719428,-80.9615945,"Food Lion, 9115, Samlen Lane, Charlotte, Mecklenburg County, North Carolina, 28214, United States"
FL_26,Food Lion,Food Lion,931 N Wendover Rd,Charlotte,NC,28211,competitor,35.1922160,-80.7970173,"Food Lion, 931, North Wendover Road, Grier Heights, Charlotte, Mecklenburg County, North Carolina, 28211, United States"
FL_27,Food Lion,Food Lion,9323 N Tryon St,Charlotte,NC,28262,competitor,35.3140857,-80.7444604,"Food Lion, 9323, North Tryon Street, University City, Charlotte, Mecklenburg County, North Carolina, 28262, United States"
FL_28,Food Lion,Food Lion,9848 Monroe Rd,Charlotte,NC,28270,competitor,35.1377864,-80.7396749,"Food Lion, 9848, Monroe Road, Forest Homes, Charlotte, Mecklenburg County, North Carolina, 28270, United States"
PB_01,Publix,Publix,10110 Benfield Rd,Charlotte,NC,28269,competitor,35.3749170,-80.7884839,"Publix, 10110, Benfield Road, Charlotte, Mecklenburg County, North Carolina, 28269, United States"
PB_02,Publix,Publix,5015 Weddington Rd,Concord,NC,28027,competitor,35.3962040,-80.6612710,"Publix, 5015, Weddington Road Northwest, Concord, Cabarrus County, North Carolina, 28027, United States"
PB_03,Publix,Publix,2222 South Blvd,Charlotte,NC,28203,competitor,35.2066025,-80.8623749,"2222, South Boulevard, South End, Charlotte, Mecklenburg County, North Carolina, 28203, United States"
PB_04,Publix,Publix,12925 Albemarle Rd,Charlotte,NC,28227,competitor,35.2238019,-80.6361932,"12925, Albemarle Road, Charlotte, Mecklenburg County, North Carolina, 28227, United States"
PB_05,Publix,Publix,6828 Matthews-Mint Hill Rd,Mint Hill,NC,28227,competitor,35.1709166,-80.6595100,"Publix, 6828, Matthews-Mint Hill Road, Downtown, Charlotte, Mecklenburg County, North Carolina, 28227, United States"
PB_06,Publix,Publix,4425 Randolph Rd,Charlotte,NC,28211,competitor,35.1778323,-80.7995817,"Publix, 4425, Randolph Road, Cotswold, Charlotte, Mecklenburg County, North Carolina, 28211, United States"
PB_07,Publix,Publix,4135 S Stream Blvd,Charlotte,NC,28217,competitor,35.1832195,-80.9202881,"4135, South Stream Boulevard, City Park, Charlotte, Mecklenburg County, North Carolina, 28217, United States"
PB_08,Publix,Publix,8120 S Tryon St,Charlotte,NC,28273,competitor,35.1460582,-80.9298541,"Publix, 8120, South Tryon Street, Yorkwood, Charlotte, Mecklenburg County, North Carolina, 28273, United States"
PB_09,Publix,Publix,7933 Providence Rd,Charlotte,NC,28277,competitor,35.0993603,-80.7784788,"7933, Providence Road, Charlotte, Mecklenburg County, North Carolina, 28277, United States"
PB_10,Publix,Publix,3110 Fincher Farm Rd,Matthews,NC,28105,competitor,35.0823440,-80.7301403,"Publix, 3110, Fincher Farm Road, Matthews, Mecklenburg County, North Carolina, 28105, United States"
PB_11,Publix,Publix,11525 Carmel Commons Blvd,Charlotte,NC,28226,competitor,35.0864911,-80.8440906,"Publix, 11525, Carmel Commons Boulevard, Carmel, Carmel Commons, Charlotte, Mecklenburg County, North Carolina, 28226, United States"
