store_id,brand,store_name,address,city,state,zip,role
PB_14,Publix,Publix,12810 S Tryon St,Charlotte,NC,28273.0,competitor
LF_01,Lowes Foods,Lowes Foods,2415 Herrons Nest Pl NW,Concord,NC,28027.0,competitor
LF_02,Lowes Foods,Lowes Foods,4445 School House Commons,Harrisburg,NC,28075.0,competitor
LF_03,Lowes Foods,Lowes Foods,14021 Boren St,Huntersville,NC,28078.0,competitor
AL_01,ALDI,ALDI,10629 Park Rd,Charlotte,NC,28210.0,competitor
AL_02,ALDI,ALDI,10710 South Tryon St,Charlotte,NC,28273.0,competitor
AL_03,ALDI,ALDI,2526 Freedom Dr,Charlotte,NC,28208.0,competitor
AL_04,ALDI,ALDI,4006 Connection Point Blvd,Charlotte,NC,28212.0,competitor
AL_05,ALDI,ALDI,4120 Sunset Rd,Charlotte,NC,28216.0,competitor
AL_06,ALDI,ALDI,5550 Old Pineville Rd,Charlotte,NC,28217.0,competitor
AL_07,ALDI,ALDI,5817 Prosperity Church Rd,Charlotte,NC,28269.0,competitor
AL_08,ALDI,ALDI,6454 Albemarle Rd,Charlotte,NC,28212.0,competitor
AL_09,ALDI,ALDI,9609 N Tryon St,Charlotte,NC,28262.0,competitor
LD_01,Lidl,Lidl,8930 Christenbury Pkwy,Concord,NC,28027.0,competitor
LD_02,Lidl,Lidl,615 W Mallard Creek Church Rd,Charlotte,NC,28262.0,competitor
LD_03,Lidl,Lidl,4520 Margaret Wallace Rd,Matthews,NC,28105.0,competitor
LD_04,Lidl,Lidl,9318 Monroe Rd,Charlotte,NC,28270.0,competitor
LD_05,Lidl,Lidl,11200 Carmel Commons Blvd,Charlotte,NC,28226.0,competitor
LD_06,Lidl,Lidl,11225 S Tryon St,Charlotte,NC,28273.0,competitor
